forecast_date,target,target_end_date,location,type,quantile,value
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.01,2
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.025,3
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.05,5
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.1,8
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.15,10
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.2,13
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.25,16
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.3,18
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.35,21
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.4,23
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.45,25
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.5,27
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.55,31
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.6,34
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.65,37
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.7,41
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.75,45
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.8,50
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.85,56.617
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.9,67.633
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.95,85.65
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.975,99.317
2020-06-07,1 day ahead inc death,2020-06-08,13,quantile,0.99,115.99
2020-06-07,1 day ahead inc death,2020-06-08,13,point,NA,27
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.01,2182
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.025,2183
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.05,2185
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.1,2188
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.15,2190
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.2,2193
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.25,2196
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.3,2198
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.35,2201
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.4,2203
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.45,2205
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.5,2207
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.55,2211
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.6,2214
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.65,2217
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.7,2221
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.75,2225
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.8,2230
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.85,2236.617
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.9,2247.633
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.95,2265.65
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.975,2279.317
2020-06-07,1 day ahead cum death,2020-06-08,13,quantile,0.99,2295.99
2020-06-07,1 day ahead cum death,2020-06-08,13,point,NA,2207
2020-06-07,2 day ahead inc death,2020-06-09,13,quantile,0.01,1
2020-06-07,2 day ahead inc death,2020-06-09,13,quantile,0.025,3
2020-06-07,2 day ahead inc death,2020-06-09,13,quantile,0.05,4
2020-06-07,2 day ahead inc death,2020-06-09,13,quantile,0.1,7
2020-06-07,2 day ahead inc death,2020-06-09,13,quantile,0.15,10
2020-06-07,2 day ahead inc death,2020-06-09,13,quantile,0.2,13
2020-06-07,2 day ahead inc death,2020-06-09,13,quantile,0.25,14.417
2020-06-07,2 day ahead inc death,2020-06-09,13,quantile,0.3,17
2020-06-07,2 day ahead inc death,2020-06-09,13,quantile,0.35,19
2020-06-07,2 day ahead inc death,2020-06-09,13,quantile,0.4,22
2020-06-07,2 day ahead inc death,2020-06-09,13,quantile,0.45,26
2020-06-07,2 day ahead inc death,2020-06-09,13,quantile,0.5,28
2020-06-07,2 day ahead inc death,2020-06-09,13,quantile,0.55,31
2020-06-07,2 day ahead inc death,2020-06-09,13,quantile,0.6,33
2020-06-07,2 day ahead inc death,2020-06-09,13,quantile,0.65,37.55
